epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37955,0,47.6422,0,0,0,0,0,0,82.4256,0,0,0,0
2,9.25789,0,47.564,0,0,0,0,0,0,82.4584,0,1.40071e-05,1.40071e-05,1.40071e-05
3,12.9611,0,47.5186,0,0,0,0,0,0,82.4957,0,2.74482e-05,2.74482e-05,2.74482e-05
4,16.7246,0,47.4365,0,0,0,0,0,0,82.5337,0,4.03235e-05,4.03235e-05,4.03235e-05
5,20.522,0,47.1617,0,0,0,0,0,0,82.5673,0,5.26329e-05,5.26329e-05,5.26329e-05
6,24.6069,0,46.9758,0,0,0,0,0,0,82.5956,0,6.43764e-05,6.43764e-05,6.43764e-05
7,28.3355,0,46.7005,0,0,0,0,0,0,82.6163,0,7.55541e-05,7.55541e-05,7.55541e-05
8,32.1501,0,46.4808,0,0,0,0,0,0,82.6147,0,8.61658e-05,8.61658e-05,8.61658e-05
9,35.998,0,46.2856,0,0,0,0,0,0,82.5951,0,9.62117e-05,9.62117e-05,9.62117e-05
10,39.8046,0,46.0525,0,0,0,0,0,0,82.5536,0,0.000105692,0.000105692,0.000105692
11,43.5152,0,45.7598,0,0,0,0,0,0,82.4856,0,0.000114606,0.000114606,0.000114606
12,47.1026,0,45.5651,0,0,0,0,0,0,82.3993,0,0.000122954,0.000122954,0.000122954
13,50.8512,0,45.3344,0,0,0,0,0,0,82.3065,0,0.000130736,0.000130736,0.000130736
14,54.5069,0,44.9296,0,0,0,0,0,0,82.2113,0,0.000137953,0.000137953,0.000137953
15,58.5523,0,44.7032,0,0,0,0,0,0,82.1443,0,0.000144603,0.000144603,0.000144603
16,62.3907,0,44.5985,0,0,0,0,0,0,82.1338,0,0.000150688,0.000150688,0.000150688
17,66.0425,0,43.8824,0,0,0,0,0,0,82.2651,0,0.000156207,0.000156207,0.000156207
18,69.4883,0,43.4572,0,0,0,0,0,0,82.2651,0,0.00016116,0.00016116,0.00016116
